M/Z,Intensity
404.11538,41915
404.11987,29769
404.12821,18789
404.13089,13654
404.13943,50278
404.14343,29633
404.16048,41108
404.18904,14562
404.21431,19631
404.22553,166351
404.23366,70291
404.25068,69612
404.26185,157580
404.32741,28424
405.07005,19538
405.09129,20653
405.10247,54570
405.11052,43542
405.11498,71138
405.12346,84705
405.12747,94531
405.1386,17991
405.14689,6175
405.15983,11960
405.16377,5375
405.19848,32167
405.20961,253830
405.2247,5866
405.22886,31822
405.25391,6227
405.26507,18525
405.33096,2593
406.06534,9471
406.11014,42307
406.11837,22740
406.12271,123217
406.12666,10773
406.13086,30737
406.13534,18817
406.15515,38597
406.17644,20950
406.2048,59061
406.21289,54372
406.71721,12129
407.08571,120872
407.09418,12758
407.10266,28402
407.11791,66039
407.12602,34978
407.13052,53880
407.13914,72598
407.14315,23098
407.20395,16009
407.20779,10763
407.2443,106720
407.26554,18052
408.08097,107668
408.08906,42327
408.102,15713
408.11465,20449
408.11901,16774
408.12577,32694
408.13409,15796
408.13839,64504
408.17102,11852
408.18806,7582
408.19228,34634
408.1992,5921
408.22429,22113
408.22845,14328
408.2354,28288
408.2477,17466
409.07102,11118
409.07623,24663
409.08435,34212
409.10123,326532
409.10973,32228
409.11829,64531
409.13361,58173
409.15493,34456
409.18329,8143
409.18681,28783
409.19446,17384
409.21962,232938
409.23065,21124
410.02628,17479
410.09664,325517
410.10472,120175
410.10912,53913
410.11765,59859
410.15399,13385
410.18028,10150
410.20369,28544
410.20794,29878
410.21489,73087
410.22306,39409
410.2378,14950
410.23976,15381
410.25104,25857
411.01466,430782
411.09198,106640
411.10005,111252
411.10448,93399
411.11299,46355
411.11699,316372
411.13402,33991
411.14926,27840
411.19888,21836
411.21012,32267
411.23527,38208
411.23945,83576
411.24653,152854
411.2715,6376
412.01813,78780
412.09528,25255
412.09975,52161
412.11236,325091
412.12048,119575
412.12491,83654
412.13347,56165
412.19174,97312
412.21925,32350
412.23064,78331
412.24282,12594
412.25005,18017
412.2558,31584
412.26694,12209
412.30726,14456
412.39027,3612
413.01298,55828
413.04244,18802
413.10751,113822
413.11565,109840
413.12013,128683
413.12861,64825
413.13275,127967
413.14998,14991
413.16618,8271
413.19123,14512
413.19508,10882
413.21442,63420
413.22567,66134
413.25091,27188
413.25522,8767
413.26216,42928
413.26671,7608
414.01619,9044
414.06776,8203
414.10422,53140
414.11249,35167
414.1153,67618
